title,team,location,link
Account Executive - Funded Startups - French,Sales,Dublin HQ,https://stripe.com/jobs/listing/account-executive-funded-startups-french/7686224
"Account Executive (Hunter) , UK Enterprise Retail",Sales,London,https://stripe.com/jobs/listing/account-executive-hunter-uk-enterprise-retail/7451366
"Account Executive SMB, AUNZ",Sales,Melbourne,https://stripe.com/jobs/listing/account-executive-smb-aunz/7382687
"Account Executive SMB, AUNZ",Sales,Sydney,https://stripe.com/jobs/listing/account-executive-smb-aunz/7382687
"Account Executive, AI Sales",Sales,South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-ai-sales/7532733
"Account Executive, Commercial (Existing Business)",Sales,Chicago,https://stripe.com/jobs/listing/account-executive-commercial-existing-business/7306915
"Account Executive, Commercial (Existing Business)",Sales,New York,https://stripe.com/jobs/listing/account-executive-commercial-existing-business/7306915
"Account Executive, Enterprise (Hunter)",Sales,Paris,https://stripe.com/jobs/listing/account-executive-enterprise-hunter/7458833
"Account Executive, Enterprise (Hunter), Japan",Sales,Tokyo,https://stripe.com/jobs/listing/account-executive-enterprise-hunter-japan/7528816
"Account Executive, Enterprise (Sao Paulo, Brazil)",Sales,São Paulo,https://stripe.com/jobs/listing/account-executive-enterprise-sao-paulo-brazil/7108249
"Account Executive, Enterprise (Sao Paulo, Brazil)",Sales,Remote in Brazil,https://stripe.com/jobs/listing/account-executive-enterprise-sao-paulo-brazil/7108249
"Account Executive, Enterprise Platforms (New Business)",Sales,New York,https://stripe.com/jobs/listing/account-executive-enterprise-platforms-new-business/7218796
"Account Executive, Existing Business, Iberia",Sales,Dublin HQ,https://stripe.com/jobs/listing/account-executive-existing-business-iberia/7553751
"Account Executive, Funded Startups",Sales,London,https://stripe.com/jobs/listing/account-executive-funded-startups/7766401
"Account Executive, Iberia",Sales,Madrid,https://stripe.com/jobs/listing/account-executive-iberia/7394627
"Account Executive, Italy",Sales,Italy,https://stripe.com/jobs/listing/account-executive-italy/7483724
"Account Executive, Marketplace",Sales,London,https://stripe.com/jobs/listing/account-executive-marketplace/7542218
"Account Executive, Mid-Market - Existing Business",Sales,Dublin HQ,https://stripe.com/jobs/listing/account-executive-mid-market-existing-business/7483552
"Account Executive, Platforms (Existing Business)",Sales,South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-platforms-existing-business/7576967
